C 0 8 9 0 6 F 0 4 0 0 B E 0 D 1
0 0 5 0 0 8 0 0 0 D 0 G B 0 0 3
B 0 0 0 0 0 0 0 0 0 0 5 4 8 0 0
0 0 6 0 0 0 A G 0 0 0 0 0 0 0 9
0 5 0 0 C 9 0 0 0 F 0 8 A 4 0 0
0 0 F 4 8 D 0 0 0 0 G E C 0 0 5
A G 0 8 0 0 6 E 0 4 0 0 0 0 9 0
6 0 0 E 0 G 4 0 3 5 B 9 D 0 1 0
0 9 0 0 0 0 0 0 C 0 0 0 0 1 E 6
0 0 E 0 0 0 0 0 0 9 0 0 G 0 F 0
0 0 B 0 A 0 G 0 0 7 8 0 0 0 C D
0 0 0 D 0 B C 0 0 0 0 F 8 3 5 0
8 B 0 A 0 C 2 0 0 0 6 0 0 7 4 0
E 0 D F G 0 8 0 B 0 0 0 0 9 0 0
0 0 0 0 F 0 B 0 0 E 0 0 6 0 0 0
0 7 4 6 1 A D 0 0 C 0 0 F 0 0 0
