0 0 0 0 0 6 0 0 7 0 G 0 C 0 5 0
0 0 5 A 0 F B 0 9 4 0 0 E 0 0 0
0 0 F 7 9 1 E 0 0 C 0 0 0 G 0 0
0 0 0 0 2 0 0 0 0 E 5 B 0 9 4 7
0 0 0 9 0 2 8 0 0 5 3 4 0 0 B E
0 0 0 0 1 0 0 F E B 0 0 0 0 0 0
0 F 6 3 E 7 5 0 0 2 0 A 0 D 1 0
0 0 0 0 0 0 3 0 0 0 C 0 0 A F 0
0 0 0 0 F E C 2 0 9 D 0 6 0 0 0
0 0 0 F 4 0 0 0 0 0 0 0 8 0 3 A
0 0 0 0 0 0 0 0 0 0 0 8 4 0 D G
7 0 0 0 0 G 0 0 6 0 0 E 0 C 0 0
0 0 0 0 6 0 0 G 0 0 0 3 0 0 2 F
9 0 0 1 0 0 0 0 0 0 0 0 D 3 0 0
0 6 7 B 0 0 1 0 4 0 2 5 0 8 0 0
0 4 2 0 A 0 0 0 G 0 8 0 1 0 6 0
