C A 8 9 2 6 F 5 4 3 7 B E G D 1
1 F 5 2 4 8 E 7 9 D A G B C 6 3
B E G 7 D 3 9 C 1 6 2 5 4 8 A F
4 D 6 3 B 1 A G E 8 F C 2 5 7 9
D 5 7 B C 9 3 2 6 F 1 8 A 4 G E
9 3 F 4 8 D 1 B 7 A G E C 6 2 5
A G 1 8 5 F 6 E D 4 C 2 3 B 9 7
6 2 C E 7 G 4 A 3 5 B 9 D F 1 8
F 9 A G 3 2 5 8 C B D 4 7 1 E 6
5 8 E C 6 4 7 D 2 9 3 1 G A F B
3 4 B 1 A E G F 5 7 8 6 9 2 C D
7 6 2 D 9 B C 1 A G E F 8 3 5 4
8 B 9 A E C 2 3 F 1 6 D 5 7 4 G
E C D F G 5 8 6 B 2 4 7 1 9 3 A
2 1 3 5 F 7 B 4 G E 9 A 6 D 8 C
G 7 4 6 1 A D 9 8 C 5 3 F E B 2
