D A F 8 7 9 4 5 B C 6 1 G E 3 2
7 9 B 4 G 8 E C A 3 2 D 6 F 1 5
1 C G E 3 B 2 6 5 9 8 F 7 4 A D
3 2 6 5 F A D 1 G 4 7 E 9 8 B C
2 8 9 7 1 4 G A C 6 B 3 F D 5 E
4 B 1 C E 6 3 D 8 F 5 7 2 A 9 G
F E A G 8 5 C B 1 D 9 2 3 7 6 4
6 D 5 3 2 F 9 7 E G A 4 8 1 C B
5 3 4 2 9 7 6 8 F A E B C G D 1
B 7 8 6 A E 1 3 D 2 G C 5 9 4 F
C 1 D F B G 5 4 7 8 3 9 E 6 2 A
A G E 9 C D F 2 4 5 1 6 B 3 8 7
8 5 C D 6 3 A E 2 1 F G 4 B 7 9
E 6 2 A 4 C B F 9 7 D 8 1 5 G 3
G F 3 1 5 2 7 9 6 B 4 A D C E 8
9 4 7 B D 1 8 G 3 E C 5 A 2 F 6
