E 9 B 2 D 6 4 A 7 8 G F C 1 5 3
G 3 5 A C F B 7 9 4 1 D E 2 8 6
4 8 F 7 9 1 E 5 3 C 6 2 B G A D
1 C D 6 2 3 G 8 A E 5 B F 9 4 7
A 1 C 9 G 2 8 D F 5 3 4 7 6 B E
2 D 4 G 1 A 9 F E B 7 6 3 5 C 8
B F 6 3 E 7 5 C 8 2 9 A G D 1 4
5 7 E 8 B 4 3 6 D G C 1 2 A F 9
8 A 3 4 F E C 2 5 9 D G 6 B 7 1
6 2 G F 4 5 D 9 1 7 B C 8 E 3 A
C E 9 5 7 B 6 1 2 3 A 8 4 F D G
7 B 1 D 8 G A 3 6 F 4 E 5 C 9 2
D 5 8 C 6 9 7 G B 1 E 3 A 4 2 F
9 G A 1 5 8 2 4 C 6 F 7 D 3 E B
F 6 7 B 3 D 1 E 4 A 2 5 9 8 G C
3 4 2 E A C F B G D 8 9 1 7 6 5
